,volatility_ann_w1,volume_avg_w1,market_cap_avg_w1,volatility_ann_w3,volume_avg_w3,market_cap_avg_w3,volatility_ann_w5,volume_avg_w5,market_cap_avg_w5,volatility_ann_w10,volume_avg_w10,market_cap_avg_w10,volatility_ann_w30,volume_avg_w30,market_cap_avg_w30
AAPL,0.33925706719146626,46208300.0,4067191163250.0,0.2107637681901669,45249366.666666664,4003849785227.3257,0.16306067917711695,46127040.0,3996344755528.858,0.1233625293433227,53724490.0,3991874782483.575,0.2090317471834533,47574893.333333336,3854599601157.184
MSFT,0.08385631736035956,17980000.0,3780701811109.04,0.15336575222552568,22700433.333333332,3744679608510.8335,0.24303153941074923,23706420.0,3739615696384.923,0.2179236724610666,27291800.0,3814474627715.172,0.1865095574297055,21010416.666666668,3848680856033.007
NVDA,0.47682552660852856,176483300.0,4702866609161.377,0.6953289258476786,213440900.0,4710008311620.076,0.5945673607316564,206940560.0,4692397354580.688,0.5015614052469195,207138560.0,4824698943664.55,0.4115934496954719,181163560.0,4625150915318.299
AMZN,0.04467279043443743,23564100.0,2662932873588.0005,0.11199610487968607,35471633.333333336,2643726066623.2495,0.2699833162289426,38605960.0,2640804048147.75,0.5755681133352886,66120380.0,2603976273564.225,0.39371633130132944,51248356.666666664,2440195033767.65
GOOGL,0.06607401483184715,19842100.0,1694841565795.8984,0.48356282574093046,27959666.666666668,1668292087727.8645,0.3674347711709439,30412580.0,1663133465795.8984,0.3241845559327211,36965150.0,1645214050653.0762,0.2832004188720404,31383440.0,1519754690130.615
META,0.11803393797126144,13302200.0,1365710840024.3074,0.1863034155279983,20831333.333333332,1365209923720.0664,0.28108035928954034,21268540.0,1365728253567.6567,0.6206454332564018,33891480.0,1408432283490.6252,0.4262064252689237,19283050.0,1521013185205.8706
ORCL,0.31152336635615435,20686600.0,673214656270.8928,0.23610549398637773,19451533.333333332,680617222521.8094,0.2579804798656037,17804880.0,690091360672.3928,0.4104384570117743,18736620.0,715882481717.825,0.46054714989827744,20257846.666666668,787963425986.3021
INTC,0.23709243082933376,53741900.0,180687605094.90967,0.30821327672908694,75694533.33333333,181991404609.68018,0.4303085121735245,75869020.0,181336325386.04736,0.4550418907580209,81515270.0,185123702911.37695,0.4812444436919733,110863573.33333333,180946769805.9082
CSCO,0.08389824230632482,21412900.0,282589379544.8386,0.15945786164773026,20175933.333333332,282247847246.7131,0.16752457824856767,18622240.0,282163780533.2063,0.2605821945812761,19732000.0,284571566699.0516,0.21208239435505805,17901686.666666668,277718298568.73773
ADBE,0.2095625192225015,2827200.0,139485892510.98633,0.11449976317582555,3342266.6666666665,138001260058.59375,0.22599331345518694,3312440.0,138297070043.9453,0.3493461571117759,3905620.0,139901562004.39453,0.302608981620546,3743283.3333333335,143231524919.23013
WMT,0.1573127203784474,13182100.0,824711739524.6486,0.10175195751379397,14979466.666666666,819741968083.2296,0.11783668469619378,14632240.0,815782124369.919,0.11420157662324774,14689780.0,814291199020.296,0.2042422381714379,14980626.666666666,827356045365.4617
COST,0.02950319245833396,1663400.0,405003715287.47754,0.05938693374783043,2286700.0,406566663039.4585,0.07365132774952741,2616520.0,408679451596.27264,0.17193630616438332,2642670.0,408656005080.78455,0.18343781004195236,2405523.3333333335,410725931885.3008
