,AAPL,MSFT,NVDA,AMZN,GOOGL,META,ORCL,INTC,CSCO,ADBE,WMT,COST,HD,MCD,NKE,SBUX,LOW,TGT,BKNG,NFLX,JPM,BAC,WFC,C,MS,GS,BLK,AXP,SCHW,PYPL,UNH,JNJ,PFE,MRK,ABBV,LLY,TMO,DHR,BMY,AMGN,CAT,GE,BA,DE,XOM,CVX,COP,NEE,LIN,RIO
2022-11-08,89908500.0,28192500.0,595292000.0,88703400.0,30429000.0,52088300.0,9104200.0,36258000.0,17503100.0,4230600.0,15068400.0,1709900.0,3371800.0,2628800.0,7017800.0,9675500.0,2880800.0,3284600.0,317700.0,7683800.0,9884100.0,32664300.0,14842700.0,16737100.0,4850300.0,3501300.0,1084300.0,3846000.0,5142500.0,19481300.0,2797000.0,5148400.0,18054500.0,8503900.0,4637500.0,3278600.0,2003100.0,3632386.0,8514600.0,6911300.0,3676600.0,10052376.0,11274500.0,1360800.0,14661000.0,6308200.0,5039800.0,5518400.0,1520000.0,3447000.0
2022-11-09,74917800.0,27852900.0,454414000.0,90796200.0,31769100.0,107677300.0,6013700.0,30544800.0,19311700.0,2778200.0,15932100.0,1640500.0,3071400.0,2610800.0,6550900.0,6271200.0,3007200.0,4018400.0,359500.0,7266000.0,9494000.0,30164400.0,18318700.0,13299000.0,5200800.0,3047200.0,539200.0,2425500.0,4194300.0,14327600.0,2672600.0,6150000.0,15348100.0,10602900.0,4573700.0,2323700.0,1061000.0,2478442.0,9586300.0,3469100.0,6248300.0,7961743.0,8893800.0,2182800.0,19522800.0,8021700.0,7069500.0,4940000.0,1165500.0,3903000.0
2022-11-10,118854000.0,46268000.0,700819000.0,173414900.0,51620100.0,80671000.0,10437300.0,62943900.0,27190100.0,5502900.0,20310600.0,3098300.0,7794000.0,4510900.0,9361000.0,10408400.0,4837200.0,4962900.0,516200.0,9667300.0,16351600.0,45702800.0,23091900.0,27915500.0,10013900.0,3790400.0,1795700.0,4701600.0,12947100.0,20122100.0,3426400.0,7877500.0,20480600.0,9556000.0,5607700.0,2994000.0,1937600.0,3764249.0,9884500.0,4083200.0,4590800.0,13786304.0,12375000.0,2370900.0,20146700.0,6981500.0,7543900.0,9315900.0,2683400.0,3364500.0
2022-11-11,93979700.0,34620200.0,655487000.0,111590500.0,33090500.0,59961700.0,7712900.0,49826500.0,25961800.0,4110100.0,19270800.0,2393500.0,4945400.0,4742800.0,12597500.0,8294400.0,4272500.0,5828300.0,442800.0,9573800.0,10704700.0,35688700.0,18076600.0,26009200.0,9119100.0,3409100.0,1278600.0,3714600.0,12172300.0,19916700.0,7034300.0,11074700.0,20909800.0,13342800.0,6786400.0,6646300.0,2422500.0,3976087.0,18317600.0,3255100.0,3585400.0,12490513.0,8894300.0,1519200.0,20518900.0,8428300.0,8662000.0,5730900.0,2133700.0,6469500.0
2022-11-14,73374100.0,31123300.0,527852000.0,99533100.0,30179500.0,53395000.0,7153000.0,39395300.0,21091300.0,3464500.0,37525800.0,1820200.0,6394800.0,3357400.0,7134900.0,8521100.0,4165000.0,5753800.0,415700.0,17978200.0,11085600.0,35541400.0,13929900.0,19631600.0,4873400.0,2609100.0,1183000.0,3666500.0,12606400.0,10944100.0,5238400.0,6581500.0,26143000.0,8958200.0,7077100.0,4717400.0,1458400.0,2705508.0,14169500.0,2812800.0,3217700.0,7906367.0,5598300.0,2035700.0,20858300.0,9722400.0,6163400.0,7904000.0,1908500.0,4065400.0
2022-11-15,89868300.0,31390100.0,545876000.0,111336300.0,41640800.0,50670500.0,7618500.0,40933200.0,19318000.0,2948600.0,76548600.0,2502200.0,9290400.0,5429100.0,7242900.0,6410000.0,5127800.0,8606000.0,411200.0,14626900.0,14038300.0,46082800.0,19076000.0,19839400.0,7336100.0,3192400.0,851300.0,2916900.0,6709500.0,14515700.0,5103800.0,9351000.0,25440500.0,7965900.0,5909500.0,4180700.0,1531400.0,2886665.0,11212300.0,2763200.0,3371000.0,7913108.0,7207900.0,1701100.0,19373800.0,7747300.0,8300600.0,5594900.0,1865500.0,4085800.0
2022-11-16,64218300.0,24093300.0,649547000.0,87958800.0,29105200.0,33287800.0,6011900.0,35582800.0,24939600.0,2123200.0,32593200.0,1833600.0,5249500.0,4132700.0,5998700.0,5348900.0,8173100.0,36731500.0,302500.0,8038600.0,7893400.0,23813000.0,14713300.0,18052100.0,4368600.0,2303700.0,806400.0,2635300.0,6278100.0,17049800.0,3430800.0,5500900.0,15822200.0,8757700.0,7358700.0,3563800.0,1133700.0,2493331.0,10132600.0,2443500.0,3062000.0,7629328.0,4438600.0,1101600.0,13591000.0,7941100.0,7365600.0,8444900.0,1418500.0,2862800.0
2022-11-17,80389400.0,23123500.0,710894000.0,82617900.0,26052600.0,35093800.0,5717300.0,31983300.0,38887800.0,2740400.0,24791400.0,1902500.0,3642100.0,2467400.0,5252900.0,5245600.0,3507800.0,11300500.0,494900.0,9838200.0,8820200.0,23689700.0,11350900.0,11962700.0,4967300.0,2297600.0,781200.0,2769600.0,6787200.0,11250100.0,4246300.0,4464100.0,13231100.0,8496800.0,5069500.0,2929700.0,1281800.0,2439638.0,7457700.0,2172000.0,3256900.0,7466411.0,4878600.0,1284100.0,12425900.0,6550500.0,5735800.0,8333900.0,1520600.0,3515800.0
2022-11-18,74829600.0,27613500.0,492072000.0,72428200.0,28342300.0,33357700.0,6107000.0,27122200.0,30843200.0,3421700.0,18987000.0,1584400.0,3559300.0,2699200.0,5498900.0,5964800.0,2912500.0,7280900.0,306100.0,8400100.0,9468500.0,32041800.0,10515300.0,12884300.0,5450700.0,2384500.0,626800.0,2631300.0,7540900.0,9371700.0,3566000.0,6555700.0,20666500.0,11626300.0,5691100.0,2420900.0,1228400.0,3062971.0,9229700.0,2371700.0,2868700.0,6555521.0,4693200.0,1590800.0,15415000.0,7661500.0,5727200.0,6664400.0,1257400.0,2786300.0
2022-11-21,58724100.0,26394700.0,404739000.0,84330300.0,21647400.0,24351100.0,5235400.0,36086800.0,17049500.0,3219900.0,21157200.0,1268300.0,4069000.0,2974200.0,4774800.0,4499200.0,2326400.0,5964700.0,279900.0,7256500.0,7800500.0,27935700.0,11656800.0,9884100.0,4667100.0,1877500.0,656800.0,2003500.0,5858500.0,13839700.0,3349600.0,5706600.0,14736000.0,8899300.0,6492100.0,1999200.0,1329600.0,1762387.0,8972400.0,2795100.0,2522600.0,5247691.0,3501800.0,1326000.0,20973000.0,8432900.0,6573200.0,6593800.0,1065700.0,3985900.0
